,1,2,3,4,5,6,7,8,9
286,10:00p,Utah Jazz,98,Portland Trail Blazers,130,Box Score,,"19,833",
287,10:00p,Los Angeles Lakers,106,Sacramento Kings,100,Box Score,,"17,317",
288,7:00p,Denver Nuggets,103,Philadelphia 76ers,92,Box Score,,"13,113",
289,7:30p,Los Angeles Clippers,82,Cleveland Cavaliers,88,Box Score,,"16,216",
290,8:00p,Detroit Pistons,92,Chicago Bulls,75,Box Score,,"21,737",
291,8:00p,Golden State Warriors,108,Memphis Grizzlies,82,Box Score,,"15,088",
292,8:00p,Miami Heat,103,Minnesota Timberwolves,82,Box Score,,"19,888",
293,8:30p,Brooklyn Nets,90,Milwaukee Bucks,82,Box Score,,"14,963",
294,8:30p,Indiana Pacers,111,San Antonio Spurs,100,Box Score,,"18,581",
295,9:00p,Sacramento Kings,112,Utah Jazz,102,Box Score,OT,"16,500",
296,10:00p,Dallas Mavericks,108,Portland Trail Blazers,106,Box Score,,"20,142",
297,6:00p,Miami Heat,110,Detroit Pistons,95,Box Score,,"18,034",
298,7:00p,Orlando Magic,88,Houston Rockets,98,Box Score,,"16,407",
299,7:00p,Indiana Pacers,94,Oklahoma City Thunder,118,Box Score,,"18,203",
300,9:30p,Toronto Raptors,106,Los Angeles Lakers,94,Box Score,,"18,997",
301,12:00a,Boston Celtics,114,New York Knicks,73,Box Score,,"19,812",
302,7:00p,Golden State Warriors,111,Charlotte Bobcats,115,Box Score,,"13,129",
303,7:00p,Los Angeles Clippers,94,Philadelphia 76ers,83,Box Score,,"12,355",
304,7:00p,Denver Nuggets,75,Washington Wizards,74,Box Score,,"13,293",
305,8:00p,Orlando Magic,85,Memphis Grizzlies,94,Box Score,,"13,511",
306,9:00p,Portland Trail Blazers,105,Utah Jazz,94,Box Score,,"17,555",
307,10:00p,Dallas Mavericks,97,Sacramento Kings,112,Box Score,,"15,329",
308,7:00p,New York Knicks,94,Cleveland Cavaliers,109,Box Score,,"14,580",
